OTUID,Kingdom,Phylum,Class,Order,Family,Genus,Species
f1_seq3348,Unclassified,,,,,,
f1_seq3349,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Bartonella,Bartonella apis
f1_seq3350,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Bartonella,uncultured Bartonella sp.
f1_seq3351,Unclassified,,,,,,
f1_seq3352,Unclassified,,,,,,
f1_seq3353,Unclassified,,,,,,
f1_seq3354,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Orbaceae,Gilliamella,uncultured gamma proteobacterium
f1_seq3355,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Snodgrassella,uncultured beta proteobacterium
f1_seq3356,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,MND1,uncultured bacterium
f1_seq3357,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,uncultured,uncultured bacterium
f1_seq3358,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,uncultured archaeon,
f1_seq3359,Bacteria,RCP2-54,uncultured bacterium,,,,
f1_seq3360,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Blastocatella,uncultured Acidobacteria bacterium
f1_seq3361,Bacteria,Proteobacteria,Gammaproteobacteria,Nitrosococcales,Nitrosococcaceae,SZB85,uncultured gamma proteobacterium
f1_seq3362,Unclassified,,,,,,
f1_seq3363,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Candidatus Nitrososphaera,uncultured archaeon
f1_seq3364,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41,uncultured Acidobacteria bacterium
f1_seq3365,Unclassified,,,,,,
f1_seq3366,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,uncultured,uncultured Chitinophagaceae bacterium
f1_seq3367,Bacteria,Bacteroidota,Kapabacteria,Kapabacteriales,uncultured bacterium,,
f1_seq3368,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Candidatus Nitrocosmicus,uncultured archaeon
f1_seq3369,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Puia,uncultured Niastella sp.
f1_seq3370,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Candidatus Nitrososphaera,uncultured bacterium
f1_seq3371,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Niastella,uncultured bacterium
f1_seq3372,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Blastocatella,uncultured Acidobacteria bacterium
f1_seq3373,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Lysinimonas,Lysinimonas soli
f1_seq3374,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,uncultured bacterium
f1_seq3375,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Segetibacter,uncultured Flexibacteraceae bacterium
f1_seq3376,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellula,metagenome
f1_seq3377,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,uncultured,uncultured bacterium
f1_seq3378,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,uncultured Flavisolibacter sp.
f1_seq3379,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Candidatus Nitrocosmicus,uncultured archaeon
f1_seq3380,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,A21b,uncultured Rhodocyclaceae bacterium,
f1_seq3381,Bacteria,Gemmatimonadota,Longimicrobia,Longimicrobiales,Longimicrobiaceae,YC-ZSS-LKJ147,metagenome
f1_seq3382,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Sporichthyaceae,uncultured,uncultured bacterium
f1_seq3383,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,uncultured,uncultured soil bacterium
f1_seq3384,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Parviterribacter,uncultured bacterium
f1_seq3385,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Leifsonia,Leifsonia psychrotolerans
f1_seq3386,Unclassified,,,,,,
f1_seq3387,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Geodermatophilaceae,Blastococcus,Blastococcus sp. BC412
f1_seq3388,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,uncultured,uncultured bacterium
f1_seq3389,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,uncultured,uncultured bacterium,
f1_seq3390,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,uncultured archaeon,
f1_seq3391,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,uncultured Verrucomicrobia bacterium
f1_seq3392,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,uncultured,metagenome
f1_seq3393,Unclassified,,,,,,
f1_seq3394,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,uncultured bacterium,
f1_seq3395,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,uncultured bacterium,
f1_seq3396,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,uncultured bacterium
f1_seq3397,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Candidatus Nitrososphaera,uncultured archaeon
f1_seq3398,Bacteria,Actinobacteriota,MB-A2-108,uncultured bacterium,,,
f1_seq3399,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,uncultured bacterium,
f1_seq3400,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,uncultured archaeon,
f1_seq3401,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,uncultured bacterium,
f1_seq3402,Bacteria,Chloroflexi,KD4-96,uncultured bacterium,,,
f1_seq3403,Bacteria,Actinobacteriota,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinomycetospora,Actinomycetospora sp. FXJ1.556
f1_seq3404,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,uncultured,uncultured bacterium,
f1_seq3405,Bacteria,Actinobacteriota,Rubrobacteria,Rubrobacterales,Rubrobacteriaceae,Rubrobacter,uncultured bacterium
f1_seq3406,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,uncultured,uncultured bacterium,
f1_seq3407,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Blastocatella,uncultured bacterium
f1_seq3408,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,uncultured actinobacterium,
f1_seq3409,Bacteria,Actinobacteriota,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,Pseudonocardia sp. ACT-0146
f1_seq3410,Bacteria,Actinobacteriota,Rubrobacteria,Rubrobacterales,Rubrobacteriaceae,Rubrobacter,uncultured bacterium
f1_seq3411,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,uncultured,uncultured Acidobacteria bacterium,
f1_seq3412,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,uncultured bacterium
f1_seq3413,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41,uncultured Acidobacteria bacterium
f1_seq3414,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41,uncultured bacterium
f1_seq3415,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Pelomonas,Roseateles sp.
f1_seq3416,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,uncultured crenarchaeote,
f1_seq3417,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,Gaiellaceae,Gaiella,uncultured bacterium
f1_seq3418,Bacteria,Chloroflexi,Dehalococcoidia,SAR202 clade,uncultured bacterium,,
f1_seq3419,Bacteria,Actinobacteriota,Rubrobacteria,Rubrobacterales,Rubrobacteriaceae,Rubrobacter,uncultured bacterium
f1_seq3420,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Leptothrix,uncultured bacterium
f1_seq3421,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,uncultured,uncultured bacterium DA023,
f1_seq3422,Bacteria,Actinobacteriota,Thermoleophilia,uncultured,uncultured bacterium,,
f1_seq3423,Bacteria,Myxococcota,Polyangia,Polyangiales,BIrii41,uncultured Sorangiineae bacterium,
f1_seq3424,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,uncultured bacterium,
f1_seq3425,Bacteria,Actinobacteriota,Rubrobacteria,Rubrobacterales,Rubrobacteriaceae,Rubrobacter,uncultured actinobacterium
f1_seq3426,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,uncultured bacterium,
f1_seq3427,Bacteria,Acidobacteriota,Blastocatellia,11-24,uncultured bacterium,,
f1_seq3428,Bacteria,Chloroflexi,KD4-96,uncultured bacterium,,,
f1_seq3429,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Microlunatus,uncultured bacterium
f1_seq3430,Bacteria,Actinobacteriota,Rubrobacteria,Rubrobacterales,Rubrobacteriaceae,Rubrobacter,uncultured Rubrobacter sp.
f1_seq3431,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Candidatus Nitrososphaera,uncultured archaeon
f1_seq3432,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Ellin6067,uncultured bacterium
f1_seq3433,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae (Subgroup 1),Granulicella,uncultured Acidobacteria bacterium
f1_seq3434,Bacteria,Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,uncultured,uncultured bacterium
f1_seq3435,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium terregens
f1_seq3436,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Iamiaceae,Iamia,uncultured bacterium
f1_seq3437,Bacteria,Actinobacteriota,Acidimicrobiia,IMCC26256,uncultured Cellulomonadaceae bacterium,,
f1_seq3438,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,Lactobacillus pentosus
f1_seq3439,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium diernhoferi
f1_seq3440,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter,uncultured bacterium
f1_seq3441,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Roseimicrobium,uncultured Verrucomicrobiaceae bacterium
f1_seq3442,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,TRA3-20,uncultured bacterium,
f1_seq3443,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,YM_S32_TM7_50_20,uncultured bacterium,
f1_seq3444,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,uncultured,uncultured bacterium
f1_seq3445,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,uncultured,uncultured bacterium
f1_seq3446,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,uncultured Nitrospira sp.
f1_seq3447,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,uncultured,uncultured bacterium,
f1_seq3448,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Puia,metagenome
f1_seq3449,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,CPla-3 termite group,metagenome,
f1_seq3450,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,uncultured bacterium,,
f1_seq3451,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,env.OPS 17,uncultured bacterium,
f1_seq3452,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Bartonella,Bartonella apis
f1_seq3453,Unclassified,,,,,,
f1_seq3454,Unclassified,,,,,,
f1_seq3455,Unclassified,,,,,,
f1_seq3456,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Orbaceae,Frischella,uncultured gamma proteobacterium
f1_seq3457,Unclassified,,,,,,
f1_seq3458,Unclassified,,,,,,
f1_seq3459,Unclassified,,,,,,
f1_seq3460,Unclassified,,,,,,
f1_seq3461,Unclassified,,,,,,
f1_seq3462,Unclassified,,,,,,
f1_seq3463,Unclassified,,,,,,
f1_seq3464,Unclassified,,,,,,
f1_seq3465,Unclassified,,,,,,
f1_seq3466,Unclassified,,,,,,
f1_seq3467,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus apis
f1_seq3468,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Terrimonas,Terrimonas sp.
f1_seq3469,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Candidatus Nitrososphaera,uncultured archaeon
f1_seq3470,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,uncultured,uncultured bacterium
f1_seq3471,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,MND1,uncultured bacterium
f1_seq3472,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,JGI 0001001-H03,uncultured Acidobacteria bacterium
f1_seq3473,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus flexus
f1_seq3474,Bacteria,Actinobacteriota,Acidimicrobiia,IMCC26256,uncultured bacterium,,
f1_seq3475,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,uncultured,uncultured bacterium
f1_seq3476,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41,uncultured bacterium
f1_seq3477,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,uncultured bacterium
f1_seq3478,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,uncultured,uncultured bacterium
f1_seq3479,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,uncultured,uncultured bacterium
f1_seq3480,Unclassified,,,,,,
f1_seq3481,Unclassified,,,,,,
f1_seq3482,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Snodgrassella,Snodgrassella alvi
f1_seq3483,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Orbaceae,Frischella,uncultured gamma proteobacterium
f1_seq3484,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,uncultured bacterium,
f1_seq3485,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Orbaceae,Gilliamella,uncultured gamma proteobacterium
f1_seq3486,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Orbaceae,Gilliamella,uncultured gamma proteobacterium
f1_seq3487,Unclassified,,,,,,
f1_seq3488,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Orbaceae,Frischella,uncultured gamma proteobacterium
f1_seq3489,Unclassified,,,,,,
f1_seq3490,Bacteria,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium coryneforme
f1_seq3491,Unclassified,,,,,,
f1_seq3492,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Orbaceae,Frischella,uncultured gamma proteobacterium
f1_seq3493,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus apis
f1_seq3494,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Bartonella,Bartonella apis
f1_seq3495,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Snodgrassella,Snodgrassella alvi
f1_seq3496,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Orbaceae,Frischella,uncultured gamma proteobacterium
f1_seq3497,Unclassified,,,,,,
f1_seq3498,Unclassified,,,,,,
f1_seq3499,Unclassified,,,,,,
f1_seq3500,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Orbaceae,Gilliamella,uncultured gamma proteobacterium
f1_seq3501,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Bartonella,uncultured Bartonella sp.
f1_seq3502,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Snodgrassella,Snodgrassella alvi
f1_seq3503,Unclassified,,,,,,
f1_seq3504,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Bombilactobacillus,uncultured Bacilli bacterium
f1_seq3505,Unclassified,,,,,,
f1_seq3506,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Orbaceae,Gilliamella,uncultured gamma proteobacterium
f1_seq3507,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Orbaceae,Gilliamella,uncultured gamma proteobacterium
f1_seq3508,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,uncultured Lactobacillus sp.
f1_seq3509,Unclassified,,,,,,
f1_seq3510,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Orbaceae,Gilliamella,uncultured gamma proteobacterium
f1_seq3511,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Orbaceae,Gilliamella,uncultured gamma proteobacterium
f1_seq3512,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Bartonella,uncultured Bartonella sp.
f1_seq3513,Unclassified,,,,,,
f1_seq3514,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Orbaceae,Gilliamella,uncultured gamma proteobacterium
f1_seq3515,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Snodgrassella,Snodgrassella alvi
f1_seq3516,Unclassified,,,,,,
f1_seq3517,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Adhaeribacter,Adhaeribacter sp. HMF7616
f1_seq3518,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,uncultured crenarchaeote,
f1_seq3519,Bacteria,Chloroflexi,Ktedonobacteria,C0119,uncultured bacterium,,
f1_seq3520,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,uncultured Gemmatimonas sp.
f1_seq3521,Unclassified,,,,,,
f1_seq3522,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,uncultured Verrucomicrobia bacterium
f1_seq3523,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Altererythrobacter,uncultured bacterium
f1_seq3524,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans
f1_seq3525,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Candidatus Nitrososphaera,uncultured archaeon
f1_seq3526,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,uncultured archaeon,
f1_seq3527,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Candidatus Nitrososphaera,uncultured archaeon
f1_seq3528,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Niastella,Niastella gongjuensis
f1_seq3529,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,uncultured bacterium,
f1_seq3530,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,LWQ8,uncultured bacterium,
f1_seq3531,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,uncultured Nitrospira sp.
f1_seq3532,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Candidatus Nitrososphaera,uncultured archaeon
f1_seq3533,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,uncultured bacterium,
f1_seq3534,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,uncultured,uncultured bacterium,
f1_seq3535,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41,uncultured bacterium
f1_seq3536,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus apis
f1_seq3537,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,uncultured beta proteobacterium
f1_seq3538,Unclassified,,,,,,
f1_seq3539,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,uncultured beta proteobacterium
f1_seq3540,Unclassified,,,,,,
f1_seq3541,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Orbaceae,Frischella,uncultured gamma proteobacterium
f1_seq3542,Unclassified,,,,,,
f1_seq3543,Bacteria,Actinobacteriota,Rubrobacteria,Rubrobacterales,Rubrobacteriaceae,Rubrobacter,uncultured Rubrobacter sp.
f1_seq3544,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,uncultured bacterium,
f1_seq3545,Unclassified,,,,,,
f1_seq3546,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Arcticibacter,Bacteroidetes bacterium OS-21A
f1_seq3547,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,uncultured Gemmatimonadetes bacterium
f1_seq3548,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Candidatus Nitrososphaera,uncultured archaeon
f1_seq3549,Bacteria,Chloroflexi,KD4-96,uncultured bacterium,,,
f1_seq3550,Bacteria,Chloroflexi,KD4-96,uncultured bacterium,,,
f1_seq3551,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Herbaspirillum,uncultured beta proteobacterium
f1_seq3552,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,uncultured,uncultured bacterium,
f1_seq3553,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Microlunatus,uncultured bacterium
f1_seq3554,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter,uncultured soil bacterium
f1_seq3555,Bacteria,Actinobacteriota,Rubrobacteria,Rubrobacterales,Rubrobacteriaceae,Rubrobacter,uncultured bacterium
f1_seq3556,Bacteria,Myxococcota,Polyangia,Polyangiales,Sandaracinaceae,uncultured,uncultured Polyangiaceae bacterium
f1_seq3557,Bacteria,Myxococcota,bacteriap25,uncultured bacterium,,,
f1_seq3558,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41,uncultured bacterium
f1_seq3559,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Candidatus Nitrososphaera,uncultured crenarchaeote
f1_seq3560,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,uncultured,uncultured bacterium
f1_seq3561,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Oceanobacillus,Oceanobacillus sp. CAU 10116
f1_seq3562,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,uncultured archaeon,
f1_seq3563,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Sporichthyaceae,uncultured,uncultured bacterium
f1_seq3564,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,uncultured,uncultured bacterium,
f1_seq3565,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,uncultured bacterium,
f1_seq3566,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter,uncultured bacterium
f1_seq3567,Bacteria,Actinobacteriota,Rubrobacteria,Rubrobacterales,Rubrobacteriaceae,Rubrobacter,uncultured bacterium
f1_seq3568,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41,uncultured Acidobacteria bacterium
f1_seq3569,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,uncultured crenarchaeote,
f1_seq3570,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Segetibacter,uncultured bacterium
f1_seq3571,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41,uncultured bacterium
f1_seq3572,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,uncultured bacterium,
f1_seq3573,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,uncultured bacterium
f1_seq3574,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41,uncultured bacterium
f1_seq3575,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Athetis lepigone,,
f1_seq3576,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,uncultured,uncultured bacterium
f1_seq3577,Bacteria,Myxococcota,bacteriap25,uncultured bacterium,,,
f1_seq3578,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales Incertae Sedis,uncultured,uncultured bacterium
f1_seq3579,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Phormidiaceae,Tychonema CCAP 1459-11B,Tychonema bourrellyi CCAP 1459/11B
f1_seq3580,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,uncultured bacterium,,
f1_seq3581,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,Gaiellaceae,Gaiella,uncultured bacterium
f1_seq3582,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,uncultured,uncultured bacterium
f1_seq3583,Bacteria,Actinobacteriota,Thermoleophilia,uncultured,uncultured bacterium,,
f1_seq3584,Bacteria,Actinobacteriota,MB-A2-108,uncultured bacterium,,,
f1_seq3585,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,uncultured Verrucomicrobia bacterium
f1_seq3586,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,uncultured,uncultured bacterium,
f1_seq3587,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,uncultured crenarchaeote,
f1_seq3588,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,uncultured,uncultured bacterium,
